Recorte,Código IBGE,Município,Unidade de Gerenciamento de Recursos Hídricos (UGRHI) ,Região Administrativa,Região de Governo,Região Metropolitana,Aglomerações Urbanas
EMPLASA e DAEE,3500758,Alambari,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Itapetininga,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3501152,Alumínio,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3502754,Araçariguama,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3502903,Araçoiaba da Serra,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3507001,Boituva,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Itapetininga,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3508405,Cabreúva,10 - Tietê/Sorocaba,Região Administrativa de Campinas,Região de Governo de Jundiaí,-,Aglomeração Urbana de Jundiaí
EMPLASA e DAEE,3510302,Capela do Alto,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Itapetininga,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3511508,Cerquilho,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Itapetininga,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3511607,Cesário Lange,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Itapetininga,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3519709,Ibiúna,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3521002,Iperó,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3523909,Itu,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-
EMPLASA e DAEE,3525854,Jumirim,10 - Tietê/Sorocaba,Região Administrativa de Sorocaba,Região de Governo de Sorocaba,Região Metropolitana de Sorocaba,-
